,original sentence,corrected sentence,error indices,corrected indices,error-corr pair,error label,l1,Approximate level,split
3298,"Det är en kul plats för hela familjen , särskilt i sommarsemestern .","Det är en kul plats för hela familjen , särskilt under sommarsemestern .",49-49,49-53,i--under,L-W,Kinesiska,Nybörjare,valid
3299,"Det är en kul plats för hela familjen , särskilt under sommar semester .","Det är en kul plats för hela familjen , särskilt under sommarsemestern .",55-69,55-69,sommar semester--sommarsemestern,O-Comp,Kinesiska,Nybörjare,valid
3300,Jag bor på Ringvägen på Haga här i Segerstad och läser kurs D i SFi skolan .,Jag bor på Ringvägen på Haga här i Segerstad och läser kurs D i sfi-skolan .,64-73,64-73,SFi skolan--sfi-skolan,O-Comp,"Franska, Kirundi",Nybörjare,valid
3301,"Dessutom tror jag att om ni renoverar den här platsen , då kan det vara en finare plats än det har varit hittills , och människor som har familj kommer att betala mycket för det , för jag är säker på att de gillar den här platsen och vill att B-institution ska vara kvar .","Dessutom tror jag att om ni renoverar den här platsen , då kan det bli en finare plats än det har varit hittills , och människor som har familj kommer att betala mycket för det , för jag är säker på att de gillar den här platsen och vill att B-institution ska vara kvar .",67-70,67-69,vara--bli,L-W,"Franska, Kirundi",Nybörjare,valid
3302,"Dessutom tror jag att om ni renoverar den här platsen , då kan det bli en finare plats än det har varit förut , och människor som har familj kommer att betala mycket för det , för jag är säker på att de gillar den här platsen och vill att B-institution ska vara kvar .","Dessutom tror jag att om ni renoverar den här platsen , då kan det bli en finare plats än det har varit hittills , och människor som har familj kommer att betala mycket för det , för jag är säker på att de gillar den här platsen och vill att B-institution ska vara kvar .",104-108,104-111,förut--hittills,L-W,"Franska, Kirundi",Nybörjare,valid
3303,Jag hoppas att ni förstår mig och att B-institution ska vara kvar .,Jag hoppas att ni förstår mig och att B-institution får vara kvar .,52-54,52-54,ska--får,L-W,"Franska, Kirundi",Nybörjare,valid
3304,Jag tycker att det är en dålig idé att stänga A-institution därför att det är viktigt för ungdomares på sommaren .,Jag tycker att det är en dålig idé att stänga A-institution därför att det är viktigt för ungdomarna på sommaren .,90-99,90-99,ungdomares--ungdomarna,L-Der,Engelska,Nybörjare,valid
3305,Det är viktigt som de kan träffa olika människor och lära sig att socialisera med människor de inte känner .,Det är viktigt eftersom de kan träffa olika människor och lära sig att socialisera med människor de inte känner .,15-17,15-22,som--eftersom,L-W,Engelska,Nybörjare,valid
3306,Det är viktigt eftersom de kan träffa olika människor och lära sig att socialer med människor de inte känner .,Det är viktigt eftersom de kan träffa olika människor och lära sig att socialisera med människor de inte känner .,71-78,71-81,socialer--socialisera,L-Der,Engelska,Nybörjare,valid
3307,"De kan simma och träna där , lära sig att har ett jättebra och hälse liv .","De kan simma och träna där , lära sig att har ett jättebra och hälsosamt liv .",63-67,63-71,hälse--hälsosamt,L-Der,Engelska,Nybörjare,valid
3308,När jag läste att A-institution ska stängas var jag arg och ledsen därför att ni tar bort en viktig plats från våra barn .,När jag läste att A-institution ska stängas blev jag arg och ledsen därför att ni tar bort en viktig plats från våra barn .,44-46,44-47,var--blev,L-W,Engelska,Nybörjare,valid
3309,När jag läste att A-institution ska stängas blev jag arg och ledsen därför att ni tar borta en viktig plats från våra barn .,När jag läste att A-institution ska stängas blev jag arg och ledsen därför att ni tar bort en viktig plats från våra barn .,86-90,86-89,borta--bort,L-Der,Engelska,Nybörjare,valid
3310,Ni måste inte .,Ni får inte .,3-7,3-5,måste--får,L-W,Engelska,Nybörjare,valid
3311,Det var en gång en fågel som brukade flyga runt hela dagen och leta efter mat för sina ungar .,Det var en gång en fågel som brukade flyga runt hela dagen och leta efter mat till sina ungar .,78-80,78-81,för--till,L-W,"Arabiska, Kurdiska",Fortsättning,train
3312,Det var en gång en fågel som brukade flyga runt hela dagen och leta efter mat till sina barn .,Det var en gång en fågel som brukade flyga runt hela dagen och leta efter mat till sina ungar .,88-91,88-92,barn--ungar,L-W,"Arabiska, Kurdiska",Fortsättning,train
3313,Fågeln hade tre små pojkar som var hungriga hela tiden .,Fågeln hade tre små fågelungspojkar som var hungriga hela tiden .,20-25,20-34,pojkar--fågelungspojkar,L-Der,"Arabiska, Kurdiska",Fortsättning,train
3314,En sommar dag medan han gjorde sitt jobb och tittade på marken krockade han med ett träd och bröt av sin vinge och kunde inte fortsätta .,En sommardag medan han gjorde sitt jobb och tittade på marken krockade han med ett träd och bröt av sin vinge och kunde inte fortsätta .,3-12,3-11,sommar dag--sommardag,O-Comp,"Arabiska, Kurdiska",Fortsättning,train
3315,En sommardag medan han gjorde sitt jobb och focasera på marken krockade han med ett träd och bröt av sin vinge och kunde inte fortsätta .,En sommardag medan han gjorde sitt jobb och tittade på marken krockade han med ett träd och bröt av sin vinge och kunde inte fortsätta .,44-51,44-50,focasera--tittade,L-W,"Arabiska, Kurdiska",Fortsättning,train
3316,En sommardag medan han gjorde sitt jobb och tittade på marken krockade han på ett träd och bröt av sin vinge och kunde inte fortsätta .,En sommardag medan han gjorde sitt jobb och tittade på marken krockade han med ett träd och bröt av sin vinge och kunde inte fortsätta .,75-76,75-77,på--med,L-W,"Arabiska, Kurdiska",Fortsättning,train
3317,"Plötsligen , efter några timmar av smärta , dök en enorm människa upp .","Plötsligt , efter några timmar av smärta , dök en enorm människa upp .",0-9,0-8,Plötsligen--Plötsligt,L-Der,"Arabiska, Kurdiska",Fortsättning,train
3318,Pojken märkte honom och sprang fram mot fågeln .,Pojken märkte honom och sprang fram till fågeln .,36-38,36-39,mot--till,L-W,"Arabiska, Kurdiska",Fortsättning,train
3319,"Efter några dagar av orolighet för sina barn var fågeln redo att flyga tillbaka till barnen , men när pojken såg att fågeln började kunna röra sin vinge satte han honom i en bur , men fågeln ville flyga tillbaka .","Efter några dagar av oro för sina barn var fågeln redo att flyga tillbaka till barnen , men när pojken såg att fågeln började kunna röra sin vinge satte han honom i en bur , men fågeln ville flyga tillbaka .",21-29,21-23,orolighet--oro,L-Der,"Arabiska, Kurdiska",Fortsättning,train
3320,"Efter några dagar av oro om sina barn var fågeln redo att flyga tillbaka till barnen , men när pojken såg att fågeln började kunna röra sin vinge satte han honom i en bur , men fågeln ville flyga tillbaka .","Efter några dagar av oro för sina barn var fågeln redo att flyga tillbaka till barnen , men när pojken såg att fågeln började kunna röra sin vinge satte han honom i en bur , men fågeln ville flyga tillbaka .",25-26,25-27,om--för,L-W,"Arabiska, Kurdiska",Fortsättning,train
3321,"Efter några dagar av oro för sina barn var fågeln redo att flyga tillbaka till barnen , men när pojken såg att fågeln började kunna röra sin vinge satte han honom på en bur , men fågeln ville flyga tillbaka .","Efter några dagar av oro för sina barn var fågeln redo att flyga tillbaka till barnen , men när pojken såg att fågeln började kunna röra sin vinge satte han honom i en bur , men fågeln ville flyga tillbaka .",163-164,163-163,på--i,L-W,"Arabiska, Kurdiska",Fortsättning,train
3322,"Efter några dagar av oro för sina barn var fågeln redo att flyga tillbaka till barnen , men när pojken såg att fågeln började kunna röra sin vinge satte han honom i en bur , men fågeln ville gå tillbaka .","Efter några dagar av oro för sina barn var fågeln redo att flyga tillbaka till barnen , men när pojken såg att fågeln började kunna röra sin vinge satte han honom i en bur , men fågeln ville flyga tillbaka .",191-192,191-195,gå--flyga,L-W,"Arabiska, Kurdiska",Fortsättning,train
3323,Hur skulle han berätta till pojken ?,Hur skulle han berätta för pojken ?,23-26,23-25,till--för,L-W,"Arabiska, Kurdiska",Fortsättning,train
3324,Pojken var jätteglad eftersom han hade hjälpt fågeln men han visste inte om dom tre pojkarna som väntade i boet .,Pojken var jätteglad eftersom han hade hjälpt fågeln men han visste inte om de tre pojkarna som väntade i boet .,76-78,76-77,dom--de,L-W,"Arabiska, Kurdiska",Fortsättning,train
3325,Pojken var jätteglad eftersom han hade hjälpt fågeln men han visste inte om de tre pojkarna som väntade på boet .,Pojken var jätteglad eftersom han hade hjälpt fågeln men han visste inte om de tre pojkarna som väntade i boet .,104-105,104-104,på--i,L-W,"Arabiska, Kurdiska",Fortsättning,train
3326,""" och sitter sig bredvid mig .",""" och sätter sig bredvid mig .",6-11,6-11,sitter--sätter,L-W,Tigrinska,Fortsättning,train
3327,Jag blir förvånad varför de vaknar så tidigt idag .,Jag blir förvånad att de vaknar så tidigt idag .,18-23,18-20,varför--att,L-W,Tigrinska,Fortsättning,train
3328,Vi har bestämt att du ska gifta dig till Johan .,Vi har bestämt att du ska gifta dig med Johan .,36-39,36-38,till--med,L-W,Tigrinska,Fortsättning,train
3329,Jag lovar pappa att du kommer att bli glad med mina studier .,Jag lovar pappa att du kommer att bli glad för mina studier .,43-45,43-45,med--för,L-W,Tigrinska,Fortsättning,train
3330,"Jag vill inte gifta mig , jag vill sluta mina studier och jobba som min dröm är "" .","Jag vill inte gifta mig , jag vill avsluta mina studier och jobba som min dröm är "" .",35-39,35-41,sluta--avsluta,L-Der,Tigrinska,Fortsättning,train
3331,Ska de gifta bort mig på pengar ?,Ska de gifta bort mig för pengar ?,22-23,22-24,på--för,L-W,Tigrinska,Fortsättning,train
3332,Jag sitter mig i sovrummet och gråter och gråter och tänker på vad jag ska göra .,Jag sätter mig i sovrummet och gråter och gråter och tänker på vad jag ska göra .,4-9,4-9,sitter--sätter,L-W,Tigrinska,Fortsättning,train
3333,"Plötsligt tänker jag att jag måste gå ifrån det här huset ,  jag vill vara i fred och leva i fred .","Plötsligt tänker jag att jag måste lämna det här huset ,  jag vill vara i fred och leva i fred .",35-42,35-39,gå ifrån--lämna,L-W,Tigrinska,Fortsättning,train
3334,"Plötsligt tänker jag att jag måste lämna det här huset ,  jag vill bli i fred och leva i fred .","Plötsligt tänker jag att jag måste lämna det här huset ,  jag vill vara i fred och leva i fred .",67-69,67-70,bli--vara,L-W,Tigrinska,Fortsättning,train
3335,Jag tar min väska och jag tänker hur jag ska gå härifrån .,Jag tar min väska och jag tänker hur jag ska komma härifrån .,45-46,45-49,gå--komma,L-W,Tigrinska,Fortsättning,train
3336,"Medan jag öppnar dörren öppnar pappa toalettdörren och han säger : "" vad ska du ?","Medan jag öppnar dörren öppnar pappa toalettdörren och han säger : "" Vart ska du ?",69-71,69-72,vad--Vart,L-W,Tigrinska,Fortsättning,train
3337,Jag sitter mig i soffan och gråter och gråter .,Jag sätter mig i soffan och gråter och gråter .,4-9,4-9,sitter--sätter,L-W,Tigrinska,Fortsättning,train
3338,"Vad ska jag göra , hur ska jag komma ut från de dumma människorna , hur ska jag komma från det mörka fängelset ?","Vad ska jag göra , hur ska jag komma bort från de dumma människorna , hur ska jag komma från det mörka fängelset ?",37-38,37-40,ut--bort,L-W,Tigrinska,Fortsättning,train
3339,"Vad ska jag göra , hur ska jag komma bort från de dumma människorna , hur ska jag gå från det mörka fängelset ?","Vad ska jag göra , hur ska jag komma bort från de dumma människorna , hur ska jag komma från det mörka fängelset ?",82-83,82-86,gå--komma,L-W,Tigrinska,Fortsättning,train
3340,"Med vem ska jag berätta , vem kan hjälpa mig ?","För vem ska jag berätta , vem kan hjälpa mig ?",0-2,0-2,Med--För,L-W,Tigrinska,Fortsättning,train
3341,Jag längtar på den friska luften och att leva ifred .,Jag längtar efter den friska luften och att leva ifred .,12-13,12-16,på--efter,L-W,Tigrinska,Fortsättning,train
3342,"Du får en och Sparki får en …  , försätter hans son prata i sitt rum .","Du får en och Sparki får en …  , fortsätter hans son prata i sitt rum .",33-41,33-42,försätter--fortsätter,L-Der,"Arabiska, Kurdiska",Fortsättning,train
3343,Han är nyfiken om vad hans son pratar om eller med .,Han är nyfiken på vad hans son pratar om eller med .,15-16,15-16,om--på,L-W,"Arabiska, Kurdiska",Fortsättning,train
3344,Min pappa lovade mig egentligen att han ska hämta er till mig .,Min pappa lovade mig faktiskt att han ska hämta er till mig .,21-30,21-28,egentligen--faktiskt,L-W,"Arabiska, Kurdiska",Fortsättning,train
3345,"Han är mer ännu nyfiken , han börjar oroa sig för vad som händer .","Han blir mer ännu nyfiken , han börjar oroa sig för vad som händer .",4-5,4-7,är--blir,L-W,"Arabiska, Kurdiska",Fortsättning,train
3346,"Han blir mer ännu nyfiken , han börjar röa sig för vad som händer .","Han blir mer ännu nyfiken , han börjar oroa sig för vad som händer .",39-41,39-42,röa--oroa,L-Der,"Arabiska, Kurdiska",Fortsättning,train
3347,"Han blir mer ännu nyfiken , han börjar oroa sig om vad som händer .","Han blir mer ännu nyfiken , han börjar oroa sig för vad som händer .",48-49,48-50,om--för,L-W,"Arabiska, Kurdiska",Fortsättning,train
3348,Han öppnar dörren litegran för att checka innan han frågar .,Han öppnar dörren lite grann för att checka innan han frågar .,18-25,18-27,litegran--lite grann,O-Comp,"Arabiska, Kurdiska",Fortsättning,train
3349,"␤ • Ja , du får komma in , säger pojken med skakande röst .","␤ • Ja , du får komma in , säger pojken med darrande röst .",44-51,44-51,skakande--darrande,L-W,"Arabiska, Kurdiska",Fortsättning,train
3350,␤ • Vill du ha Nutella maka eller smörgås ?,␤ • Vill du ha Nutellamacka eller smörgås ?,15-26,15-26,Nutella maka--Nutellamacka,O-Comp,"Arabiska, Kurdiska",Fortsättning,train
3351,Innan han ska gå tittar han sig omkring igen för att bli säker på att han inte har missat någonting .,Innan han ska gå tittar han sig omkring igen för att vara säker på att han inte har missat någonting .,53-55,53-56,bli--vara,L-W,"Arabiska, Kurdiska",Fortsättning,train
3352,Innan han ska gå tittar han sig omkring igen för att vara säker på att han inte har missad någonting .,Innan han ska gå tittar han sig omkring igen för att vara säker på att han inte har missat någonting .,84-89,84-89,missad--missat,L-Der,"Arabiska, Kurdiska",Fortsättning,train
3353,"␤ • Ja , jag kommer ihåg , men kommer du ihåg vad vi måste göra innan du ha en hundvalp ?","␤ • Ja , jag kommer ihåg , men kommer du ihåg vad vi måste göra innan du får en hundvalp ?",73-74,73-75,ha--får,L-W,"Arabiska, Kurdiska",Fortsättning,train
3354,Nu är pojken lite ledsen men han vet mycket väl vad det menar att lova i den här familjen .,Nu är pojken lite ledsen men han vet mycket väl vad det betyder att lova i den här familjen .,56-60,56-62,menar--betyder,L-W,"Arabiska, Kurdiska",Fortsättning,train
3355,Alla vill ta den kartongen .,Alla vill ha den kartongen .,10-11,10-11,ta--ha,L-W,Arabiska,Fortsättning,train
3356,Han tänker att han vill ha den kartongen eftersom han måste klar sig själv och han vill lära sig hur han kan överleva på gatan .,Han tänker att han vill ha den kartongen eftersom han måste klara sig själv och han vill lära sig hur han kan överleva på gatan .,60-63,60-64,klar--klara,L-Der,Arabiska,Fortsättning,train
3357,Han tänker att han vill ha den kartongen eftersom han måste klara sig själv och han vill lära sig hur han kan överleva i gatan .,Han tänker att han vill ha den kartongen eftersom han måste klara sig själv och han vill lära sig hur han kan överleva på gatan .,119-119,119-120,i--på,L-W,Arabiska,Fortsättning,train
3358,När han är ensam sitta han sig och börjar öppna kartongen .,När han är ensam sätter han sig och börjar öppna kartongen .,17-21,17-22,sitta--sätter,L-W,Arabiska,Fortsättning,train
3359,Hans mamma och pappa har går iväg .,Hans mamma och pappa har åkt iväg .,25-27,25-27,går--åkt,L-W,Arabiska,Fortsättning,train
3360,I natten lägger han sig på trottoaren med hunden i sitt knä .,På natten lägger han sig på trottoaren med hunden i sitt knä .,0-0,0-1,I--På,L-W,Arabiska,Fortsättning,train
3361,På natten lägger han sig på trottoaren och hunden i sitt knä .,På natten lägger han sig på trottoaren med hunden i sitt knä .,39-41,39-41,och--med,L-W,Arabiska,Fortsättning,train
3362,På natten lägger han sig på trottoaren med hunden på sitt knä .,På natten lägger han sig på trottoaren med hunden i sitt knä .,50-51,50-50,på--i,L-W,Arabiska,Fortsättning,train
3363,När en person kommer vid honom ylar hans hund .,När en person kommer förbi honom ylar hans hund .,21-23,21-25,vid--förbi,L-W,Arabiska,Fortsättning,train
3364,På sommaren ville de resa till Grekland och de var oroliga om valparna .,På sommaren ville de resa till Grekland och de var oroliga för valparna .,59-60,59-61,om--för,L-W,Dari,Fortsättning,train
3365,Till slut bestämde de sig för att lämna hundvalparna på en hundgård och plötsligt sa jag att jag kan ta hand om valparna eftersom jag är ledig på sommaren och de blev jätteglada och tackade mig .,Till slut bestämde de sig för att lämna hundvalparna på en hundgård men plötsligt sa jag att jag kan ta hand om valparna eftersom jag är ledig på sommaren och de blev jätteglada och tackade mig .,68-70,68-70,och--men,L-W,Dari,Fortsättning,train
3366,"När de åkt bort så började valparna bli oroliga och sprang åt olika håll och då en bil körde förbi vårt hus sprang alla tre till dörren och väntade att familjen skulle komma in , men de kom inte .","När de åkt iväg så började valparna bli oroliga och sprang åt olika håll och då en bil körde förbi vårt hus sprang alla tre till dörren och väntade att familjen skulle komma in , men de kom inte .",11-14,11-14,bort--iväg,L-W,Dari,Fortsättning,train
3367,"När de åkt iväg så började valparna bli oroliga och sprang åt olika håll och då varije bil körde förbi vårt hus sprang alla tre till dörren och väntade att familjen skulle komma in , men de kom inte .","När de åkt iväg så började valparna bli oroliga och sprang åt olika håll och då en bil körde förbi vårt hus sprang alla tre till dörren och väntade att familjen skulle komma in , men de kom inte .",80-85,80-81,varije--en,L-W,Dari,Fortsättning,train
3368,Sedan stängde jag in dem i var sin bur och satte mig i soffan för att kolla på min favurit tv seria .,Sedan stängde jag in dem i var sin bur och satte mig i soffan för att kolla på min favorit-tv-serie .,83-98,83-98,favurit tv seria--favorit-tv-serie,O-Comp,Dari,Fortsättning,train
3369,"När jag var i mitt rum hörde jag nåt konstigt ljud och blev rädd och gick till vardagrummet och kollade hundarna , om det var okej med dem , och det var okej med dem .","När jag var i mitt rum hörde jag nåt konstigt ljud och blev rädd och gick till vardagsrummet och kollade hundarna , om det var okej med dem , och det var okej med dem .",79-90,79-91,vardagrummet--vardagsrummet,L-Der,Dari,Fortsättning,train
3370,och när jag kom in i mitt rum började de gnälla igen och när gick jag dit blev de tysta .,Men när jag kom in i mitt rum började de gnälla igen och när gick jag dit blev de tysta .,0-2,0-2,och--Men,L-W,Dari,Fortsättning,train
3371,"Deras mor hade gått annan plats , kanske för att söka efter mat till valparna .","Deras mor hade gått någon annanstans , kanske för att söka efter mat till valparna .",20-30,20-35,annan plats--någon annanstans,L-W,Oromo,Fortsättning,train
3372,"Deras mor hade gått någon annanstans , kanske för att söka efter mat för valparna .","Deras mor hade gått någon annanstans , kanske för att söka efter mat till valparna .",69-71,69-72,för--till,L-W,Oromo,Fortsättning,train
3373,"Deras mor hade gått någon annanstans , kanske för att söka efter mat till porvarna .","Deras mor hade gått någon annanstans , kanske för att söka efter mat till valparna .",74-81,74-81,porvarna--valparna,L-W,Oromo,Fortsättning,train
3374,Det var inte lätt att hitta mat så det tog lång tid för mamman att komma tillbaka till sina pulvar .,Det var inte lätt att hitta mat så det tog lång tid för mamman att komma tillbaka till sina valpar .,92-97,92-97,pulvar--valpar,L-W,Oromo,Fortsättning,train
3375,Pulvarna var jättesmå så de kunde inte gå .,Valparna var jättesmå så de kunde inte gå .,0-7,0-7,Pulvarna--Valparna,L-W,Oromo,Fortsättning,train
3376,Valparna var jättesmå så de kunde aldrig gå .,Valparna var jättesmå så de kunde inte gå .,34-39,34-37,aldrig--inte,L-W,Oromo,Fortsättning,train
3377,Valparna var jättesmå så de kunde inte promenera .,Valparna var jättesmå så de kunde inte gå .,39-47,39-40,promenera--gå,L-W,Oromo,Fortsättning,train
3378,De skrek bara för att söka nånting att äta .,De skrek bara för att få nånting att äta .,22-25,22-23,söka--få,L-W,Oromo,Fortsättning,train
3379,Jag kunde inte forbi dem så de var ensamma .,Jag kunde inte lämna dem så de var ensamma .,15-19,15-19,forbi--lämna,L-W,Oromo,Fortsättning,train
3380,Då såg jag ett stort djur i skogen lite längre från pulvarna .,Då såg jag ett stort djur i skogen lite längre från valparna .,52-59,52-59,pulvarna--valparna,L-W,Oromo,Fortsättning,train
3381,Om jag gick förbi tänkte jag att det stora djuret skulle komma och äta upp alla hundvalpar .,Om jag gick förbi trodde jag att det stora djuret skulle komma och äta upp alla hundvalpar .,18-23,18-23,tänkte--trodde,L-W,Oromo,Fortsättning,train
3382,Om jag gick förbi trodde jag att det stora djuret skulle komma och äta upp alla hundpulvarna .,Om jag gick förbi trodde jag att det stora djuret skulle komma och äta upp alla hundvalpar .,80-91,80-89,hundpulvarna--hundvalpar,L-W,Oromo,Fortsättning,train
3383,Då stod jag mer än två timmar vid valparna i skogen .,Sedan stod jag mer än två timmar vid valparna i skogen .,0-1,0-4,Då--Sedan,L-W,Oromo,Fortsättning,train
3384,Sedan stod jag mer än två timmar vid pulvarna i skogen .,Sedan stod jag mer än två timmar vid valparna i skogen .,37-44,37-44,pulvarna--valparna,L-W,Oromo,Fortsättning,train
3385,Efter några minuter såg jag en person som promenerade i skogen på andra sidan och jag callade till honom att komma .,Efter några minuter såg jag en person som promenerade i skogen på andra sidan och jag ropade till honom att komma .,86-92,86-91,callade--ropade,L-FL,Oromo,Fortsättning,train
3386,Han berättade till mig att han letade efter sin hund som försvann för tre dagar sen .,Han berättade för mig att han letade efter sin hund som försvann för tre dagar sen .,14-17,14-16,till--för,L-W,Oromo,Fortsättning,train
3387,Jag visade honom var polvarna låg och vi sa att han skulle vänta tills valparnas mamma skulle komma .,Jag visade honom var valparna låg och vi sa att han skulle vänta tills valparnas mamma skulle komma .,21-28,21-28,polvarna--valparna,L-W,Oromo,Fortsättning,train
3388,Jag visade honom var valparna låg och vi pratade att han skulle vänta tills valparnas mamma skulle komma .,Jag visade honom var valparna låg och vi sa att han skulle vänta tills valparnas mamma skulle komma .,41-47,41-42,pratade--sa,L-W,Oromo,Fortsättning,train
3389,Jag visade honom var valparna låg och vi sa att han skulle vänta till valparnas mamma skulle komma .,Jag visade honom var valparna låg och vi sa att han skulle vänta tills valparnas mamma skulle komma .,65-68,65-69,till--tills,L-Der,Oromo,Fortsättning,train
3390,När jag promenerade forbi efter två minuter såg jag mamman komma med en stor bit mat i sin mun och jag blev förvånad men personen fick sin hund med hundvalparna .,När jag promenerade iväg efter två minuter såg jag mamman komma med en stor bit mat i sin mun och jag blev förvånad men personen fick sin hund med hundvalparna .,20-24,20-23,forbi--iväg,L-W,Oromo,Fortsättning,train
3391,När jag promenerade iväg efter två minuter såg jag mamman komma med en stor bit mat i sin mun och jag blev förvånad och personen fick sin hund med hundvalparna .,När jag promenerade iväg efter två minuter såg jag mamman komma med en stor bit mat i sin mun och jag blev förvånad men personen fick sin hund med hundvalparna .,116-118,116-118,och--men,L-W,Oromo,Fortsättning,train
3392,Det var en skön sommar kväll för två år sedan .,Det var en skön sommarkväll för två år sedan .,16-27,16-26,sommar kväll--sommarkväll,O-Comp,Arabiska,Fortsättning,train
3393,"Kaffelukten fyllde hela stugan och reser till den lilla ön där borta och täckte allt gräs omkring , tror jag .","Kaffelukten fyllde hela stugan och steg till den lilla ön där borta och täckte allt gräs omkring , tror jag .",35-39,35-38,reser--steg,L-W,Arabiska,Fortsättning,train
3394,Lukten var så stark och man trodde att Selvi hade kokat tio kilo kaffe totalt .,Lukten var så stark att man trodde att Selvi hade kokat tio kilo kaffe totalt .,20-22,20-22,och--att,L-W,Arabiska,Fortsättning,train
3395,Lukten var så stark att man trodde att Selvi hade kokat tio kilo kaffe tillsamman .,Lukten var så stark att man trodde att Selvi hade kokat tio kilo kaffe totalt .,71-80,71-76,tillsamman--totalt,L-W,Arabiska,Fortsättning,train
3396,Varje dag försöker jag att ha samma lukt när jag kokar mitt eget kaffe men det går inte .,Varje dag försöker jag att få samma lukt när jag kokar mitt eget kaffe men det går inte .,27-28,27-28,ha--få,L-W,Arabiska,Fortsättning,train
3397,Den bästa tiden i dagen när du är klädd i de vita badkläderna och bjuder mig att dyka tillsammans lite grann .,Den bästa tiden på dagen när du är klädd i de vita badkläderna och bjuder mig att dyka tillsammans lite grann .,16-16,16-17,i--på,L-W,Arabiska,Fortsättning,train
3398,Den bästa tiden på dagen när du är klädd på de vita badkläderna och bjuder mig att dyka tillsammans lite grann .,Den bästa tiden på dagen när du är klädd i de vita badkläderna och bjuder mig att dyka tillsammans lite grann .,41-42,41-41,på--i,L-W,Arabiska,Fortsättning,train
3399,Den bästa tiden på dagen när du är klädd i de vita simkläder och bjuder mig att dyka tillsammans lite grann .,Den bästa tiden på dagen när du är klädd i de vita badkläderna och bjuder mig att dyka tillsammans lite grann .,51-59,51-61,simkläder--badkläderna,L-Der,Arabiska,Fortsättning,train
3400,också jag kan inte låta bli att stanna här och titta på dig när du glittrar i vattnet .,Men jag kan inte låta bli att stanna här och titta på dig när du glittrar i vattnet .,0-4,0-2,också--Men,L-W,Arabiska,Fortsättning,train
3401,Men jag kan inte missa att stanna här och titta på dig när du glittrar i vattnet .,Men jag kan inte låta bli att stanna här och titta på dig när du glittrar i vattnet .,17-21,17-24,missa--låta bli,L-W,Arabiska,Fortsättning,train
3402,"␤ • Ahhh , jag orkar inte mer , säger du , och tar ett djupt andning .","␤ • Ahhh , jag orkar inte mer , säger du , och tar ett djupt andetag .",61-67,61-67,andning--andetag,L-W,Arabiska,Fortsättning,train
3403,␤ • Men du höll andan för nästan 40 sekunder .,␤ • Men du höll andan i nästan 40 sekunder .,22-24,22-22,för--i,L-W,Arabiska,Fortsättning,train
3404,␤ • Men du höll andan i nästan 40 second .,␤ • Men du höll andan i nästan 40 sekunder .,34-39,34-41,second--sekunder,L-FL,Arabiska,Fortsättning,train
3405,Jag lämnar min plats och åkte några steg mot vattnet .,Jag lämnar min plats och går några steg mot vattnet .,25-28,25-27,åkte--går,L-W,Arabiska,Fortsättning,train
3406,Jag lämnar min plats och går flera steg mot vattnet .,Jag lämnar min plats och går några steg mot vattnet .,29-33,29-33,flera--några,L-W,Arabiska,Fortsättning,train
3407,Ljuset är inte för mycket men inte för svagt heller .,Ljuset är inte för starkt men inte för svagt heller .,19-24,19-24,mycket--starkt,L-W,Arabiska,Fortsättning,train
3408,Ljuset är inte för starkt men inte för lite heller .,Ljuset är inte för starkt men inte för svagt heller .,39-42,39-43,lite--svagt,L-W,Arabiska,Fortsättning,train
3409,"Det är sommar och alltid finns det lite ljus men det räcker för att upptäcka att , som varje kväll när du får ditt kvällsdopp , är Kalle alltid redo att ta en chans !","Det är sommar och alltid finns det lite ljus men det räcker för att upptäcka att , som varje kväll när du tar ditt kvällsdopp , är Kalle alltid redo att ta en chans !",106-108,106-108,får--tar,L-W,Arabiska,Fortsättning,train
3410,"svarar du och fortsätter : Varje natt önskar jag att du kom och simmade med mig , men jag gillar inte vatten ,  säger du och vår granne Kalle han är så snäll att han vill umgås med mig och det är roligt för mig .","svarar du och fortsätter : Varje kväll önskar jag att du kom och simmade med mig , men jag gillar inte vatten ,  säger du och vår granne Kalle han är så snäll att han vill umgås med mig och det är roligt för mig .",33-36,33-37,natt--kväll,L-W,Arabiska,Fortsättning,train
3411,Det var två år sedan när vi hade denna diskussion .,Det var två år sedan som vi hade denna diskussion .,21-23,21-23,när--som,L-W,Arabiska,Fortsättning,train
3412,Sitter i fängelse för 2 år och fortsätter räkningen .,Sitter i fängelse sedan 2 år och fortsätter räkningen .,18-20,18-22,för--sedan,L-W,Arabiska,Fortsättning,train
3413,Det var ett gäng poliser som hade hittat en kvinna som hade blivit dog i skogen med en kniv .,Det var ett gäng poliser som hade hittat en kvinna som hade blivit dödad i skogen med en kniv .,67-69,67-71,dog--dödad,L-W,Tigrinska,Fortsättning,train
3414,Det var ett gäng poliser som hade hittat en kvinna som hade blivit dödad i skogen med en knife .,Det var ett gäng poliser som hade hittat en kvinna som hade blivit dödad i skogen med en kniv .,89-93,89-92,knife--kniv,L-FL,Tigrinska,Fortsättning,train
3415,"Han hade sagt : ␤ • Hon var med en kille som hade svart bredvid höger öga ,  jag tror han är författare .","Han hade sagt : ␤ • Hon var med en kille som var svart bredvid höger öga ,  jag tror han är författare .",45-48,45-47,hade--var,L-W,Tigrinska,Fortsättning,train
